GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US64054,64054,ZCTA5 64054,3642,574,3229,531,102,91,14,25,51,77,107,135,51,65,88,84,22,36,66,77
8600000US64055,64055,ZCTA5 64055,33582,865,28600,1036,1917,649,202,149,647,314,41,41,1387,518,788,250,198,130,590,189
8600000US64056,64056,ZCTA5 64056,17287,831,14090,855,1422,443,62,70,167,111,29,31,766,506,751,305,189,214,562,204
8600000US64057,64057,ZCTA5 64057,14457,1035,12451,981,1110,399,85,78,98,77,122,162,239,200,352,176,21,32,331,171
8600000US64058,64058,ZCTA5 64058,7203,514,6533,502,345,286,8,13,17,20,155,220,23,34,122,79,17,26,105,78
8600000US64060,64060,ZCTA5 64060,13515,586,12954,662,19,30,44,55,0,17,0,17,85,85,413,295,192,274,221,156
8600000US64061,64061,ZCTA5 64061,3409,415,3261,411,0,11,45,37,0,11,0,11,0,11,103,74,0,11,103,74
8600000US64062,64062,ZCTA5 64062,5472,539,5299,535,0,15,22,21,18,23,0,15,31,29,102,74,22,36,80,68
8600000US64063,64063,ZCTA5 64063,20421,972,17247,845,1770,476,46,48,337,225,3,15,543,423,475,234,101,84,374,215
8600000US64064,64064,ZCTA5 64064,16581,633,13777,698,1602,388,16,24,313,186,0,17,280,236,593,276,68,105,525,254
8600000US64065,64065,ZCTA5 64065,53,20,43,18,10,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64066,64066,ZCTA5 64066,34,22,30,19,0,11,0,11,0,11,0,11,0,11,4,6,0,11,4,6
8600000US64067,64067,ZCTA5 64067,5388,287,4661,302,383,97,68,112,26,49,3,8,22,34,225,139,0,15,225,139
8600000US64068,64068,ZCTA5 64068,37005,563,34086,725,1265,358,153,92,201,137,157,180,351,221,792,267,93,96,699,249
8600000US64070,64070,ZCTA5 64070,3175,474,3051,480,23,25,7,11,15,15,0,11,21,28,58,51,10,15,48,49
8600000US64071,64071,ZCTA5 64071,1048,259,914,241,29,21,9,10,0,11,0,11,1,2,95,97,1,2,94,97
8600000US64072,64072,ZCTA5 64072,232,82,206,76,7,10,0,11,0,11,0,11,0,11,19,18,0,11,19,18
8600000US64074,64074,ZCTA5 64074,890,265,856,265,0,11,34,44,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64075,64075,ZCTA5 64075,11654,451,11413,470,67,63,0,17,22,28,9,16,40,39,103,75,29,32,74,72
8600000US64076,64076,ZCTA5 64076,8991,477,8725,467,51,38,4,9,44,52,0,15,0,15,167,107,18,33,149,98
8600000US64077,64077,ZCTA5 64077,1603,227,1531,225,10,16,12,14,0,11,0,11,0,11,50,40,7,11,43,38
8600000US64078,64078,ZCTA5 64078,9755,559,9227,571,104,97,28,27,29,33,0,15,46,55,321,220,0,15,321,220
8600000US64079,64079,ZCTA5 64079,13141,577,12071,558,631,270,122,78,144,108,0,17,41,35,132,90,0,17,132,90
8600000US64080,64080,ZCTA5 64080,12543,431,12038,484,30,31,36,29,16,19,0,17,135,127,288,209,7,11,281,208
8600000US64081,64081,ZCTA5 64081,24072,843,20487,888,1972,451,11,18,699,451,260,213,313,257,330,221,81,68,249,208
8600000US64082,64082,ZCTA5 64082,14877,627,12471,595,1262,474,13,20,408,173,10,15,161,125,552,290,122,86,430,279
8600000US64083,64083,ZCTA5 64083,21310,523,18770,598,1828,346,169,116,124,84,0,20,134,81,285,133,0,20,285,133
8600000US64084,64084,ZCTA5 64084,1623,434,1583,443,0,11,1,4,0,11,0,11,0,11,39,33,0,11,39,33
8600000US64085,64085,ZCTA5 64085,8833,561,8361,564,266,111,0,15,0,15,0,15,58,64,148,66,18,26,130,71
8600000US64086,64086,ZCTA5 64086,21732,763,18808,856,1585,535,58,75,397,284,81,110,184,185,619,254,0,20,619,254
8600000US64088,64088,ZCTA5 64088,1221,225,1165,208,0,11,0,11,38,37,0,11,0,11,18,19,0,11,18,19
8600000US64089,64089,ZCTA5 64089,11529,469,11049,517,0,17,23,22,72,62,0,17,113,128,272,114,37,55,235,104
8600000US64090,64090,ZCTA5 64090,75,27,73,27,0,11,0,11,0,11,0,11,0,11,2,3,0,11,2,3
8600000US64092,64092,ZCTA5 64092,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64093,64093,ZCTA5 64093,28074,706,24606,721,1621,290,169,76,574,127,17,24,105,79,982,215,33,34,949,212
8600000US64096,64096,ZCTA5 64096,1169,176,1026,157,92,92,8,11,0,11,0,11,9,13,34,29,0,11,34,29
8600000US64097,64097,ZCTA5 64097,1314,269,1273,265,5,7,0,11,4,11,0,11,0,11,32,37,0,11,32,37
8600000US64098,64098,ZCTA5 64098,2763,200,2680,192,3,7,10,16,20,33,0,11,0,11,50,39,11,13,39,36
8600000US64101,64101,ZCTA5 64101,232,147,152,103,52,41,0,11,0,11,0,11,0,11,28,37,0,11,28,37
8600000US64102,64102,ZCTA5 64102,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64105,64105,ZCTA5 64105,3898,323,3014,341,620,247,37,38,38,22,14,22,103,84,72,53,0,11,72,53
8600000US64106,64106,ZCTA5 64106,8348,828,2991,331,3922,691,61,78,398,133,227,221,461,264,288,142,36,32,252,137
8600000US64108,64108,ZCTA5 64108,8010,732,4379,365,1857,345,28,27,196,90,0,15,1385,513,165,82,56,50,109,60
8600000US64109,64109,ZCTA5 64109,8728,561,3136,401,5054,506,57,42,20,23,0,15,107,71,354,150,3,5,351,152
8600000US64110,64110,ZCTA5 64110,15637,760,7369,456,7055,647,54,43,340,223,9,15,373,240,437,146,90,75,347,126
8600000US64111,64111,ZCTA5 64111,16403,803,12261,756,1744,442,164,133,334,137,11,19,1423,542,466,184,134,134,332,176
8600000US64112,64112,ZCTA5 64112,8418,486,7431,493,294,169,42,48,425,161,0,15,25,26,201,134,0,15,201,134
8600000US64113,64113,ZCTA5 64113,11754,545,11154,555,129,69,7,12,250,116,0,17,7,10,207,96,0,17,207,96
8600000US64114,64114,ZCTA5 64114,25091,829,20092,774,3283,601,43,39,677,335,0,20,383,261,613,247,9,13,604,249
8600000US64116,64116,ZCTA5 64116,14911,790,11721,753,923,391,103,106,1144,421,219,216,398,210,403,297,13,24,390,297
8600000US64117,64117,ZCTA5 64117,14148,815,10984,703,1747,345,74,50,284,136,13,28,257,175,789,279,219,141,570,253
8600000US64118,64118,ZCTA5 64118,40857,1175,34241,1308,2875,692,102,62,1032,264,91,100,828,395,1688,415,166,131,1522,412
8600000US64119,64119,ZCTA5 64119,27420,911,24009,978,1608,489,150,94,675,246,9,15,266,137,703,201,71,62,632,202
8600000US64120,64120,ZCTA5 64120,306,103,274,102,0,11,0,11,16,16,0,11,16,26,0,11,0,11,0,11
8600000US64123,64123,ZCTA5 64123,9273,983,5472,912,508,259,29,30,451,231,0,15,2500,555,313,210,23,35,290,208
8600000US64124,64124,ZCTA5 64124,10373,1056,3802,555,2455,614,96,108,1251,448,0,17,2201,548,568,367,179,135,389,340
8600000US64125,64125,ZCTA5 64125,1864,594,1009,419,31,33,27,20,20,29,0,11,720,343,57,59,57,59,0,11
8600000US64126,64126,ZCTA5 64126,5795,1031,2234,570,1307,419,0,15,51,37,0,15,1577,672,626,430,253,227,373,349
8600000US64127,64127,ZCTA5 64127,14871,1066,3336,686,8266,662,147,95,225,142,0,17,1959,486,938,276,336,204,602,214
8600000US64128,64128,ZCTA5 64128,12391,674,810,319,10436,605,41,31,87,91,0,17,660,311,357,158,14,24,343,153
